,filepath,compound,structure,atom,shift_high-low,shift_low,CN(X),no_CH,no_CC,no_CN,no_CO,no_CYH,no_CYC,no_CYN,no_CYO,shielding_dia,shielding_para,span,skew,asymmetry,anisotropy,at_charge_mull,at_charge_loew,orb_charge_mull_s,orb_charge_mull_p,orb_charge_mull_d,orb_stdev_mull_p,orb_charge_loew_s,orb_charge_loew_p,orb_charge_loew_d,orb_stdev_loew_p,BO_loew_sum,BO_loew_av,BO_mayer_sum,BO_mayer_av,mayer_VA
0,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,1,-2.180972907,22.6165,4.014655368,3,1,0,0,1,1,0,0,238.004,-75.233,36.032,0.63321492,0.302859936,32.728,-0.006669,-0.062664,2.995242,2.96405,0.046068,0.043486922,2.748962,3.10453,0.192308,0.039575348,3.958,0.9895,3.9565,0.989125,3.9383
1,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,2,-16.93225639,157.8295,3.063921047,1,2,0,0,4,1,0,0,255.691,-228.134,253.516,0.000362896,0.999516197,190.16,-0.061463,-0.002179,3.13389,2.846858,0.076515,0.032790076,2.799471,2.942899,0.239653,0.108144775,3.8911,1.297033333,3.8048,1.268266667,3.8265
2,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,6,-8.388336004,121.0125,3.058490034,1,2,0,0,1,2,0,0,254.452,-190.077,188.696,-0.415016747,1.642196418,121.944,-0.096558,-0.073155,3.14009,2.876584,0.075695,0.065215026,2.779212,3.021192,0.251104,0.05870994,4.0176,1.3392,3.9258,1.3086,3.8465
3,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,8,-6.655499483,88.2485,2.062114086,0,2,0,0,2,1,0,0,260.36,-163.221,303.33,0.999116474,0.000662791,303.263,0.087553,-0.049764,3.025626,2.824841,0.053691,0.044226619,2.837303,2.98136,0.206032,0.114459988,4.1349,2.06745,3.8184,1.9092,3.69
4,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,10,-12.74534247,86.6555,2.018988056,1,1,0,0,0,1,0,0,264.741,-166.009,168.386,0.843621204,0.122055833,161.803,-0.184549,-0.031052,3.220406,2.934164,0.024079,0.039509769,2.873229,3.027809,0.110225,0.093518469,3.8797,1.93985,3.8058,1.9029,3.8354
5,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,1,-2.004123637,20.6745,4.018271194,3,1,0,0,1,1,0,0,238.559,-73.846,34.258,0.660108588,0.278591253,31.347,0.005897,-0.056975,2.987784,2.959066,0.045971,0.042331793,2.742174,3.10298,0.19443,0.038986424,3.9587,0.989675,3.9548,0.9887,3.9381
6,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,2,-16.34480016,155.6395,3.065554558,1,2,0,0,4,1,0,0,256.542,-226.795,253.612,-0.019675725,1.026407496,188.9615,-0.061292,-0.005317,3.127622,2.852057,0.077388,0.030832315,2.794619,2.947003,0.242984,0.109275816,3.9023,1.300766667,3.8098,1.269933333,3.8235
7,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,6,-8.695091069,122.6825,3.056141225,1,2,0,0,1,2,0,0,255.044,-192.339,186.713,-0.438517939,1.684787836,119.5655,-0.11448,-0.075471,3.152109,2.881194,0.07694,0.06307612,2.785625,3.017753,0.2506,0.054389322,4.0099,1.336633333,3.9319,1.310633333,3.8478
8,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,8,-6.326174462,87.0185,2.061137774,0,2,0,0,2,1,0,0,260.464,-162.095,299.588,0.997923815,0.001557947,299.4325,0.085658,-0.057085,3.016784,2.834737,0.054307,0.038048032,2.831375,2.98877,0.210234,0.11982536,4.1577,2.07885,3.8271,1.91355,3.6983
9,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,10,-11.88627249,84.4415,2.019182968,1,1,0,0,0,1,0,0,265.522,-164.576,171.477,0.858231716,0.110233102,165.3995,-0.179117,-0.035327,3.212602,2.935627,0.024867,0.034708619,2.87121,3.029585,0.113152,0.096478567,3.8943,1.94715,3.8072,1.9036,3.8254
10,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_02.xyz,1,2,1,-2.471224589,24.0575,3.997970903,3,1,0,0,1,1,0,0,238.103,-76.773,33.451,0.700995486,0.242370883,30.9505,-0.024099,-0.067385,3.009666,2.966162,0.046893,0.044292013,2.757289,3.103835,0.189956,0.036770664,3.962,0.9905,3.9565,0.989125,3.939
11,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_02.xyz,1,2,2,-18.31666766,161.4235,3.059697978,1,2,0,0,4,1,0,0,255.876,-231.912,265.152,-0.041681752,1.056358713,196.101,-0.056236,-0.001595,3.139316,2.837908,0.074931,0.031392833,2.801123,2.945493,0.235241,0.109435106,3.8812,1.293733333,3.7886,1.262866667,3.8222
12,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_02.xyz,1,2,6,-9.23212783,126.8175,3.049181522,1,2,0,0,1,2,0,0,254.837,-196.266,194.437,-0.421138981,1.653217025,125.3565,-0.091484,-0.077522,3.138787,2.871839,0.076628,0.064054056,2.787701,3.018817,0.249637,0.056134033,4.0149,1.3383,3.9167,1.305566667,3.8331
13,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_02.xyz,1,2,8,-6.395658563,87.9455,2.057569081,0,2,0,0,2,1,0,0,260.875,-163.433,307.356,0.994664168,0.00400722,306.946,0.079724,-0.048316,3.030915,2.826933,0.054098,0.046622908,2.836081,2.97891,0.208645,0.114630591,4.1288,2.0644,3.8133,1.90665,3.6794
