,filepath,compound,structure,atom,shift_high-low,shift_low,CN(X),no_HCH,no_HYH,no_HYC,no_HYN,no_HYO,dist_HC,shift_low_neighbor_C,shielding_dia,shielding_para,span,skew,asymmetry,anisotropy,at_charge_mull,at_charge_loew,orb_charge_mull_s,orb_charge_mull_p,orb_charge_loew_s,orb_charge_loew_p,BO_loew,BO_mayer,mayer_VA
0,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,3,-0.179856591,1.8995,4.014655368,3,2,1,0,0,1.097253934,22.6165,27.489,2.041,9.27,0.72772384,0.219122584,8.639,0.042993,0.040555,0.911488,0.043268,0.817595,0.123728,0.9422,0.9788,1.0029
1,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,4,-0.142724247,1.8295,4.014655368,3,2,1,0,0,1.093645644,22.6165,28.62,0.981,7.163,0.194192377,0.756818182,5.72,0.025554,0.036493,0.928045,0.044118,0.8242,0.120931,0.9476,1.0022,1.0241
2,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,5,-0.183400361,1.9005,4.014655368,3,2,1,0,0,1.097249879,22.6165,27.487,2.043,9.27,0.72837109,0.218563741,8.6405,0.043017,0.040543,0.911465,0.043268,0.817609,0.123725,0.9422,0.9788,1.0029
3,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,7,-0.541610255,6.7155,3.063921047,1,0,2,0,0,1.089330904,157.8295,32.879,-8.165,6.849,0.434661994,0.493793573,5.881,0.053308,0.035796,0.903062,0.041482,0.820151,0.125978,0.9305,1.0172,1.0301
4,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,9,-0.29296108,5.8215,3.058490034,1,0,2,0,0,1.090477766,121.0125,31.706,-6.097,5.857,0.425986,0.502641284,5.0165,0.040152,0.044163,0.915442,0.042253,0.81332,0.124407,0.9136,1.0217,1.0237
5,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_00.xyz,1,0,11,-0.37443614,2.5895,2.018988056,1,0,1,0,0,1.062961241,86.6555,32.926,-4.086,11.263,0.94157862,0.044465468,11.0985,0.056662,0.021263,0.894665,0.047173,0.822898,0.137021,1.0142,1.1006,1.0324
6,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,3,-0.196102282,1.5475,4.018271194,3,2,1,0,0,1.082402607,20.6745,28.018,1.865,9.392,0.731473595,0.21588769,8.7615,0.039151,0.03623,0.914474,0.044062,0.816388,0.128104,0.9475,0.9798,1.0042
7,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,4,-0.146531307,1.6895,4.018271194,3,2,1,0,0,1.088138476,20.6745,28.875,0.866,7.161,0.154308058,0.804320878,5.647,0.023362,0.036345,0.930006,0.044323,0.822472,0.122336,0.9455,1.0026,1.025
8,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,5,-0.187102282,1.7765,4.018271194,3,2,1,0,0,1.091979794,20.6745,27.676,1.978,9.549,0.695256048,0.247406904,8.8215,0.043347,0.040762,0.911145,0.043255,0.816173,0.124575,0.9411,0.9791,1.0031
9,/mnt/vepfs/users/ycjin/Delta-ML Framework/Unimol_2_NMR_fix/example/structures/orca_xyz_formate/001/001_01.xyz,1,1,7,-0.53032063,6.5465,3.065554558,1,0,2,0,0,1.081114489,155.6395,33.346,-8.462,7.18,0.41810585,0.510716323,6.1355,0.049449,0.032372,0.906124,0.04222,0.819257,0.129554,0.9314,1.0178,1.032
